OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,HINC0_CY,HINC15_CY,HINC25_CY,HINC35_CY,HINC50_CY,HINC75_CY,HINC100_CY,HINC150_CY,HINC200_CY,AGGINC_CY,AGGHINC_CY,HINCBASECY,MEDHINC_CY,ACSSNAP,AVGHINC_CY,PCI_CY,AVGIA15_CY,AVGIA25_CY,AVGIA35_CY,AVGIA45_CY,AVGIA55_CY,AVGIA65_CY,AVGIA75_CY,DI0_CY,DI15_CY,DI25_CY,DI35_CY,DI50_CY,DI75_CY,DI100_CY,DI150_CY,DI200_CY,MEDDI_CY,AGGDI_CY,AVGDI_CY,DIBASE_CY,A15I0_CY,A15I15_CY,A15I25_CY,A15I35_CY,A15I50_CY,A15I75_CY,A15I100_CY,A15I150_CY,A15I200_CY,MEDIA15_CY,AGGIA15_CY,IA15BASECY,A25I0_CY,A25I15_CY,A25I25_CY,A25I35_CY,A25I50_CY,A25I75_CY,A25I100_CY,A25I150_CY,A25I200_CY,MEDIA25_CY,AGGIA25_CY,IA25BASECY,A35I0_CY,A35I15_CY,A35I25_CY,A35I35_CY,A35I50_CY,A35I75_CY,A35I100_CY,A35I150_CY,A35I200_CY,MEDIA35_CY,AGGIA35_CY,IA35BASECY,A45I0_CY,A45I15_CY,A45I25_CY,A45I35_CY,A45I50_CY,A45I75_CY,A45I100_CY,A45I150_CY,A45I200_CY,MEDIA45_CY,AGGIA45_CY,IA45BASECY,A55I0_CY,A55I15_CY,A55I25_CY,A55I35_CY,A55I50_CY,A55I75_CY,A55I100_CY,A55I150_CY,A55I200_CY,MEDIA55_CY,AGGIA55_CY,IA55BASECY,A65I0_CY,A65I15_CY,A65I25_CY,A65I35_CY,A65I50_CY,A65I75_CY,A65I100_CY,A65I150_CY,A65I200_CY,MEDIA65_CY,AGGIA65_CY,IA65BASECY,A75I0_CY,A75I15_CY,A75I25_CY,A75I35_CY,A75I50_CY,A75I75_CY,A75I100_CY,A75I150_CY,A75I200_CY,MEDIA75_CY,AGGIA75_CY,IA75BASECY,MEDHHR_CY,IA55UBASCY,MEDIA55UCY,AVGIA55UCY,IA65UBASCY,MEDIA65UCY,AVGIA65UCY,MEDDIA15CY,AVGDIA15CY,AGGDIA15CY,MEDDIA25CY,AVGDIA25CY,AGGDIA25CY,MEDDIA35CY,AVGDIA35CY,AGGDIA35CY,MEDDIA45CY,AVGDIA45CY,AGGDIA45CY,MEDDIA55CY,AVGDIA55CY,AGGDIA55CY,MEDDIA65CY,AVGDIA65CY,AGGDIA65CY,MEDDIA75CY,AVGDIA75CY,AGGDIA75CY,ID_1,sourceCountry_1,ENRICH_FID_1,aggregationMethod_1,populationToPolygonSizeRating_1,apportionmentConfidence_1,HasData_1,TOTHH_CY,WLTHINDXCY
66,Mitman,6,NEIGHBORHOODS,5,US,66,BlockApportionment:US.BlockGroups,2.191,2.576,1,69,72,122,90,112,83,50,12,17,38808476,37721287,628,42220,94,60066,30462,54370,64001,71577,73441,62744,49839,34951,80,104,118,98,129,49,31,10,10,36393,30919856,49235,628,2,3,6,5,3,1,1,0,1,35000,1196134,22,8,5,13,13,22,17,11,2,1,55652,5760085,90,8,5,14,12,16,13,12,1,3,53287,6012431,84,9,7,23,13,18,12,7,3,7,46355,7270663,99,14,12,33,19,30,25,14,4,3,48966,9662525,154,13,17,19,19,21,9,5,2,1,37313,5233048,105,15,24,15,10,2,5,1,1,1,23677,2586400,74,56.2,332,36144,52341,179,30320,43441,31818,48242,1061326,45262,52149,4693382,47859,57537,4833138,38660,59641,5904450,38565,50846,7830268,30715,41876,4397020,21710,29733,2200273,5,US,66,BlockApportionment:US.BlockGroups,2.191,2.576,1,628,47
67,Mortimore,5,NEIGHBORHOODS,6,US,67,BlockApportionment:US.BlockGroups,2.191,2.576,1,19,51,38,61,76,58,47,0,0,21472425,20501054,351,51271,94,58408,16881,54499,63816,60751,66859,56395,50203,41600,26,55,49,68,94,39,20,0,0,43770,17437695,49680,351,1,2,3,3,2,2,2,0,0,41089,708492,13,4,5,10,9,15,20,8,0,0,59930,4467146,70,4,8,7,15,18,15,10,0,0,54308,4617113,76,3,4,4,10,18,8,12,0,0,58672,3944685,59,4,11,4,9,18,5,9,0,0,51608,3440104,61,3,10,5,12,4,4,6,0,0,38536,2158729,43,1,11,4,4,2,4,1,0,0,28027,1164786,28,47.7,132,41123,51631,71,35924,46810,41089,50165,652141,50381,51607,3612501,48244,51196,3890924,53435,59170,3491041,40495,47936,2924115,30380,42664,1834537,27311,36873,1032436,6,US,67,BlockApportionment:US.BlockGroups,2.191,2.576,1,351,44
68,Mountain First Avenue,3,NEIGHBORHOODS,7,US,68,BlockApportionment:US.BlockGroups,2.191,2.576,1,141,53,88,137,79,62,58,6,38,37627721,41844541,664,39075,29,63019,27425,37409,69256,85631,73521,84190,55941,38140,151,75,107,120,92,49,33,20,18,34937,33120715,49881,664,57,16,24,30,11,14,7,0,1,27284,6022929,161,28,9,20,30,19,11,18,2,10,41825,10111389,146,12,3,9,14,9,9,9,1,8,48534,6251063,73,13,3,9,15,11,10,9,2,5,47960,5734623,78,15,6,14,21,16,11,8,1,12,46217,8839969,105,8,5,7,18,9,5,4,1,2,41108,3244561,58,8,11,6,10,3,2,3,0,0,28432,1640008,43,38.4,206,40501,66624,101,37116,47888,22549,31638,5093739,38365,52556,7673226,45166,63514,4636511,45276,60468,4716471,37860,64535,6776183,33995,47335,2745429,26169,34399,1479156,7,US,68,BlockApportionment:US.BlockGroups,2.191,2.576,1,664,51
69,Mountain View,3,NEIGHBORHOODS,8,US,69,BlockApportionment:US.BlockGroups,2.191,2.576,1,114,96,76,99,112,32,76,4,10,32452916,32299687,619,37688,84,52180,22047,36442,51483,65360,64028,49920,45663,32095,133,101,88,109,90,50,37,6,4,33108,27162741,43882,619,19,12,12,7,7,4,3,0,0,25579,2295826,63,28,22,24,24,25,9,23,1,1,37099,8031327,156,18,11,10,16,17,8,16,2,4,45268,6666749,102,15,10,9,15,17,5,16,1,3,45537,5890620,92,17,15,9,16,32,4,11,0,0,44210,5191723,104,11,13,7,17,11,3,6,0,0,36759,3196396,70,6,14,5,3,2,0,1,0,0,20196,1027045,32,43.9,206,36330,46380,102,28873,42661,20524,32765,2064167,34721,43489,6784305,41584,51809,5284482,39253,54611,5024222,34581,41781,4345188,29433,38924,2724667,19359,29241,935710,8,US,69,BlockApportionment:US.BlockGroups,2.191,2.576,1,619,37
70,Myers,5,NEIGHBORHOODS,9,US,70,BlockApportionment:US.BlockGroups,2.191,2.576,1,491,438,240,336,257,178,38,0,2,73211814,72067103,1980,27017,502,36398,13950,26507,38631,40405,39016,36982,32269,28846,575,434,287,316,290,61,15,2,0,24339,61241917,30930,1980,73,37,22,23,11,11,0,0,0,18093,4691737,177,112,93,61,80,64,49,12,0,1,29341,18233770,472,73,55,48,53,39,39,10,0,1,30713,12889325,319,77,63,40,60,53,31,10,0,0,31101,13031189,334,90,72,38,64,66,28,5,0,0,29451,13424584,363,40,63,19,46,21,10,0,0,0,24110,6421522,199,26,55,11,10,4,10,1,0,0,19133,3374977,117,45.7,679,24459,34199,316,21651,31002,16112,22684,4015120,27247,31958,15084113,27144,34384,10968551,27132,34370,11479511,25535,31255,11345569,21970,27034,5379785,18671,25378,2969267,9,US,70,BlockApportionment:US.BlockGroups,2.191,2.576,1,1980,25
71,Naylor,5,NEIGHBORHOODS,10,US,71,BlockApportionment:US.BlockGroups,2.191,2.576,1,44,74,143,77,27,19,3,0,0,13306328,13306328,387,28934,105,34383,11945,29959,33668,35849,37365,35103,33254,31432,57,108,130,55,30,6,1,0,0,26347,11399590,29456,387,4,4,11,2,1,1,0,0,0,26749,689053,23,13,14,32,11,7,4,1,0,0,28001,2760739,82,7,15,15,14,4,4,1,0,0,29291,2150925,60,5,5,25,11,6,2,1,0,0,30668,2055073,55,7,17,34,16,7,5,0,0,0,29188,3018897,86,5,11,10,18,2,1,0,0,0,31759,1562943,47,3,8,16,5,0,2,0,0,0,27232,1068698,34,50.2,167,29101,33836,81,28970,32489,20868,23885,549350,26561,28464,2334030,26182,31449,1886960,28351,33988,1869350,25961,29132,2505330,26204,27523,1293590,26006,28264,960980,10,US,71,BlockApportionment:US.BlockGroups,2.191,2.576,1,387,25
72,North Dodge,3,NEIGHBORHOODS,11,US,72,BlockApportionment:US.BlockGroups,2.191,2.576,1,386,228,154,113,94,59,25,11,5,34360973,34800530,1073,20567,356,32433,15367,26172,37484,34879,36581,30907,27106,19651,426,241,143,109,103,26,21,3,2,18438,29598410,27585,1073,47,19,14,11,5,3,1,0,1,16232,2617171,100,68,35,35,18,24,18,8,3,1,25404,7834072,209,73,35,31,24,19,18,5,2,1,23385,7254865,208,56,28,26,25,17,8,5,3,1,25136,6145652,168,85,42,22,22,20,8,4,2,1,18193,6335978,205,42,49,22,12,9,3,2,1,0,19221,3767779,139,16,21,4,2,1,1,0,0,0,16589,845013,43,46.1,388,18362,28002,182,18360,24934,15126,22426,2242596,22599,30812,6439650,20255,29999,6239721,22075,31413,5277428,17197,26497,5431960,17306,23153,3218308,15702,17413,748747,11,US,72,BlockApportionment:US.BlockGroups,2.191,2.576,1,1073,21
73,North University,6,NEIGHBORHOODS,12,US,73,BlockApportionment:US.BlockGroups,2.191,2.576,1,336,164,74,76,161,21,26,16,21,38279611,35186447,894,20807,26,39358,18838,27900,48390,59688,62324,55178,49963,28656,370,157,68,122,108,21,26,12,10,18841,29049086,32493,894,209,105,34,38,46,4,6,5,5,16015,12638584,453,63,28,21,17,66,5,7,5,6,33228,10549044,218,15,6,5,6,13,3,4,2,3,40236,3402192,57,13,5,4,4,8,2,3,2,3,35000,2742252,44,18,7,4,4,15,4,4,2,2,38092,3310656,60,9,6,3,4,8,2,1,0,1,31083,1798667,36,9,6,3,2,5,0,0,0,0,19616,745052,26,24.9,122,28883,49196,62,24377,43114,14804,23508,10649053,31995,39044,8511697,35000,47755,2722047,33451,52267,2299742,35000,47798,2867876,26535,36264,1305498,18676,26660,693173,12,US,73,BlockApportionment:US.BlockGroups,2.191,2.576,1,894,26
74,Oak Flower,3,NEIGHBORHOODS,13,US,74,BlockApportionment:US.BlockGroups,2.191,2.576,1,308,261,165,207,188,50,62,0,0,46235863,45444433,1242,27498,391,36590,18659,29998,38812,39492,41985,36398,33569,22498,355,270,184,210,150,46,27,0,0,24774,39516267,31817,1242,32,20,13,8,3,5,4,0,0,19032,2549820,85,52,49,41,38,40,10,15,0,0,29407,9508837,245,55,41,32,57,41,12,13,0,0,33990,9912377,251,46,30,27,35,32,13,16,0,0,33339,8396983,200,56,38,28,39,47,6,6,0,0,29985,7971267,219,34,45,18,24,19,4,6,0,0,23614,5035366,150,33,39,6,7,5,1,1,0,0,16871,2069783,92,47,461,23273,32633,242,20011,29360,16765,25744,2188241,27657,33314,8161977,29782,34623,8690464,28877,37240,7447943,25796,30894,6765887,21354,29407,4411124,16243,20116,1850631,13,US,74,BlockApportionment:US.BlockGroups,2.191,2.576,1,1242,24
75,Old Fort Lowell,2,NEIGHBORHOODS,14,US,75,BlockApportionment:US.BlockGroups,2.191,2.576,1,114,49,67,123,278,142,215,106,121,118788580,122726811,1215,71981,44,101010,53007,63472,89834,114312,114759,98686,103747,93361,119,60,98,189,271,154,199,64,60,60357,95362091,78487,1215,12,1,4,5,8,2,4,1,2,41356,2475413,39,19,4,8,17,33,18,21,5,12,62875,12397143,138,16,6,6,15,31,23,46,12,24,90318,20461885,179,12,5,5,14,34,18,31,18,19,84529,17902362,156,17,8,5,13,64,38,45,24,14,78490,22401651,227,16,10,16,26,74,26,42,29,26,70347,27389134,264,22,16,24,32,33,17,27,17,23,56748,19699223,211,59.2,702,70053,98707,475,65476,98925,36842,51092,1992569,51781,67129,9263833,71597,84626,15148042,72084,90870,14175768,64596,78377,17791611,61564,82502,21780602,46729,72084,15209667,14,US,75,BlockApportionment:US.BlockGroups,2.191,2.576,1,1215,120
