OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,HINC0_CY,HINC15_CY,HINC25_CY,HINC35_CY,HINC50_CY,HINC75_CY,HINC100_CY,HINC150_CY,HINC200_CY,AGGINC_CY,AGGHINC_CY,HINCBASECY,MEDHINC_CY,ACSSNAP,AVGHINC_CY,PCI_CY,AVGIA15_CY,AVGIA25_CY,AVGIA35_CY,AVGIA45_CY,AVGIA55_CY,AVGIA65_CY,AVGIA75_CY,DI0_CY,DI15_CY,DI25_CY,DI35_CY,DI50_CY,DI75_CY,DI100_CY,DI150_CY,DI200_CY,MEDDI_CY,AGGDI_CY,AVGDI_CY,DIBASE_CY,A15I0_CY,A15I15_CY,A15I25_CY,A15I35_CY,A15I50_CY,A15I75_CY,A15I100_CY,A15I150_CY,A15I200_CY,MEDIA15_CY,AGGIA15_CY,IA15BASECY,A25I0_CY,A25I15_CY,A25I25_CY,A25I35_CY,A25I50_CY,A25I75_CY,A25I100_CY,A25I150_CY,A25I200_CY,MEDIA25_CY,AGGIA25_CY,IA25BASECY,A35I0_CY,A35I15_CY,A35I25_CY,A35I35_CY,A35I50_CY,A35I75_CY,A35I100_CY,A35I150_CY,A35I200_CY,MEDIA35_CY,AGGIA35_CY,IA35BASECY,A45I0_CY,A45I15_CY,A45I25_CY,A45I35_CY,A45I50_CY,A45I75_CY,A45I100_CY,A45I150_CY,A45I200_CY,MEDIA45_CY,AGGIA45_CY,IA45BASECY,A55I0_CY,A55I15_CY,A55I25_CY,A55I35_CY,A55I50_CY,A55I75_CY,A55I100_CY,A55I150_CY,A55I200_CY,MEDIA55_CY,AGGIA55_CY,IA55BASECY,A65I0_CY,A65I15_CY,A65I25_CY,A65I35_CY,A65I50_CY,A65I75_CY,A65I100_CY,A65I150_CY,A65I200_CY,MEDIA65_CY,AGGIA65_CY,IA65BASECY,A75I0_CY,A75I15_CY,A75I25_CY,A75I35_CY,A75I50_CY,A75I75_CY,A75I100_CY,A75I150_CY,A75I200_CY,MEDIA75_CY,AGGIA75_CY,IA75BASECY,MEDHHR_CY,IA55UBASCY,MEDIA55UCY,AVGIA55UCY,IA65UBASCY,MEDIA65UCY,AVGIA65UCY,MEDDIA15CY,AVGDIA15CY,AGGDIA15CY,MEDDIA25CY,AVGDIA25CY,AGGDIA25CY,MEDDIA35CY,AVGDIA35CY,AGGDIA35CY,MEDDIA45CY,AVGDIA45CY,AGGDIA45CY,MEDDIA55CY,AVGDIA55CY,AGGDIA55CY,MEDDIA65CY,AVGDIA65CY,AGGDIA65CY,MEDDIA75CY,AVGDIA75CY,AGGDIA75CY,ID_1,sourceCountry_1,ENRICH_FID_1,aggregationMethod_1,populationToPolygonSizeRating_1,apportionmentConfidence_1,HasData_1,TOTHH_CY,WLTHINDXCY
76,Palo Verde,6,NEIGHBORHOODS,15,US,76,BlockApportionment:US.BlockGroups,2.191,2.576,1,633,398,376,417,332,271,220,32,57,139070307,137620192,2737,33659,558,50281,24825,32727,49784,58858,57117,54744,46231,33353,698,452,408,399,414,188,123,28,28,29578,113731677,41553,2737,77,41,43,33,20,9,8,2,0,24463,7625353,233,146,67,94,92,75,66,55,9,8,34857,30418246,611,86,43,64,79,56,55,52,6,13,40183,26780299,455,87,46,48,59,59,40,48,9,9,39373,23189379,406,123,68,53,70,70,55,35,4,19,35699,27152920,496,77,69,45,65,43,36,14,2,8,31864,16550545,358,37,64,29,19,9,11,9,0,0,22122,5903451,177,46.7,1031,30525,47976,535,27299,41814,19731,28479,6635671,32457,40651,24838005,37802,48235,21946998,34883,48357,19632857,29141,43701,21675490,26805,38345,13727553,20940,29803,5275103,15,US,76,BlockApportionment:US.BlockGroups,2.191,2.576,1,2737,38
77,Panorama Estates,1,NEIGHBORHOODS,16,US,77,BlockApportionment:US.BlockGroups,2.191,2.576,1,6,6,6,5,11,7,2,2,0,2440356,2516043,45,48081,11,55912,24902,79859,59649,57584,61556,55684,48990,48280,7,7,6,8,12,3,3,0,0,39420,2097998,46622,45,0,0,0,0,0,0,0,0,0,0,79859,1,1,0,1,1,2,1,0,0,0,50000,357893,6,1,1,1,1,1,1,1,0,0,41302,403088,7,1,0,1,1,2,1,0,1,0,54062,492446,8,1,1,1,0,3,2,0,0,0,55189,501156,9,1,1,1,1,3,0,0,0,0,41302,391921,8,1,1,1,0,1,1,0,0,0,29084,289680,6,55.6,23,50000,59138,14,35000,56800,0,68446,68446,41089,48834,293003,41302,48978,342847,41302,52240,417920,45079,45790,412111,35000,39908,319262,29084,40735,244410,16,US,77,BlockApportionment:US.BlockGroups,2.191,2.576,1,45,46
78,Westside Development,1,NEIGHBORHOODS,17,US,78,BlockApportionment:US.BlockGroups,2.191,2.576,1,158,116,140,252,341,289,401,49,32,134184120,131735156,1777,64060,337,74133,27967,50579,72305,81246,85425,79087,69520,50024,178,141,198,289,424,303,211,20,13,53237,108909574,61288,1777,10,9,10,13,14,8,8,0,0,41737,3591119,71,25,16,25,44,47,46,66,14,1,64957,20462429,283,20,14,19,37,47,50,100,6,5,79631,24373668,300,22,12,16,30,56,53,78,12,9,77771,24602268,288,31,15,19,40,88,65,89,10,7,70570,28866616,365,29,24,28,59,70,54,44,6,9,55542,22385549,322,21,27,23,28,19,13,17,1,1,36514,7453507,149,53.2,836,58054,70138,471,49404,63085,36898,44999,3194902,51957,59350,16795944,61414,65453,19635794,62478,71148,20490611,56865,65024,23733869,47861,57767,18601068,31898,43338,6457387,17,US,78,BlockApportionment:US.BlockGroups,2.191,2.576,1,1777,74
79,Parkway Terrace,5,NEIGHBORHOODS,18,US,79,BlockApportionment:US.BlockGroups,2.191,2.576,1,11,12,5,13,24,13,8,0,0,3609671,4671267,86,51224,18,54317,16558,45255,54857,58030,56473,53461,52348,46356,12,11,9,18,23,8,4,0,0,42315,3991863,46417,86,1,0,0,1,1,1,1,0,0,60000,181020,4,2,1,1,2,6,1,1,0,0,51991,767999,14,2,1,1,3,4,3,1,0,0,51924,870448,15,3,2,0,2,4,1,3,0,0,51924,903573,16,2,2,1,3,6,2,1,0,0,51066,908838,17,1,2,1,2,2,4,0,0,0,50000,575833,11,0,4,2,2,1,2,0,0,0,31818,463556,10,51.6,38,44595,48706,21,39420,45191,50000,41864,167455,43847,45769,640764,50000,48743,731147,50000,50891,814252,40901,44374,754365,41213,42912,472035,29167,41184,411845,18,US,79,BlockApportionment:US.BlockGroups,2.191,2.576,1,86,43
80,Peter Howell,6,NEIGHBORHOODS,19,US,80,BlockApportionment:US.BlockGroups,2.191,2.576,1,173,33,43,98,125,118,205,26,33,66227538,65715818,854,63943,69,76951,35587,39668,79076,95294,85364,77873,78882,53396,177,42,67,113,162,145,117,16,15,53013,53310895,62425,854,15,0,3,3,6,1,4,0,0,27769,1269381,32,29,3,6,14,23,14,29,3,7,60663,10121712,128,16,2,2,12,13,12,34,5,7,86921,10005868,105,27,2,4,15,18,23,37,7,6,77854,11950970,140,35,6,7,16,36,30,55,6,4,72582,15107318,194,24,9,12,16,18,23,31,3,7,62564,11280171,143,26,10,9,21,12,16,16,2,0,41490,5980397,112,56.1,449,60704,71929,255,50298,67689,19211,35044,1121399,50322,61121,7823537,66420,73119,7677460,61684,70608,9885118,57844,64276,12469512,51559,63765,9118436,36512,46566,5215433,19,US,80,BlockApportionment:US.BlockGroups,2.191,2.576,1,854,76
81,Pie Allen,6,NEIGHBORHOODS,20,US,81,BlockApportionment:US.BlockGroups,2.191,2.576,1,151,63,50,79,61,9,30,7,3,11022971,17641866,452,27001,46,39031,15352,25729,42353,47700,49363,47275,52011,38538,165,65,57,82,41,19,20,2,2,24234,14947553,33070,452,62,27,14,26,9,0,4,0,0,17394,3679287,143,43,17,20,27,28,3,12,2,1,32795,6522323,154,14,5,6,9,8,1,4,1,1,33929,2337296,49,13,5,4,7,6,1,5,1,1,33446,2073255,42,9,3,3,4,5,2,2,1,0,32935,1370989,29,6,3,2,4,3,1,2,1,0,35000,1196262,23,4,3,1,2,1,1,0,1,0,22602,462454,12,30.4,64,31070,47339,35,29368,47392,15926,22612,3233508,29963,35662,5491933,30348,39445,1932791,27413,42056,1766345,28051,39015,1131425,27968,44384,1020834,22602,30893,370717,20,US,81,BlockApportionment:US.BlockGroups,2.191,2.576,1,452,26
82,Poets Square,6,NEIGHBORHOODS,21,US,82,BlockApportionment:US.BlockGroups,2.191,2.576,1,30,26,36,52,125,63,89,57,2,39208118,38268438,481,67038,8,79560,35196,58541,76999,88086,88479,83375,72520,59908,34,33,46,84,123,67,91,2,1,56306,31362887,65204,481,2,1,2,2,5,1,1,1,0,51352,878114,15,5,3,5,8,22,10,17,6,0,67055,5928903,77,5,3,5,6,15,12,23,10,0,84640,6870685,78,5,2,7,5,21,10,15,15,0,75000,7078287,80,7,5,7,10,33,18,24,16,0,72746,10005035,120,3,5,6,12,20,7,8,6,1,57084,4931385,68,3,7,4,10,10,5,1,4,0,45979,2576029,43,53.8,230,61779,75485,111,53219,67030,50000,50313,754690,53458,62999,4850911,67795,70742,5517891,64379,73672,5893779,59728,68049,8165918,49202,59665,4057197,39590,49360,2122501,21,US,82,BlockApportionment:US.BlockGroups,2.191,2.576,1,481,75
83,RillitoBend,3,NEIGHBORHOODS,22,US,83,BlockApportionment:US.BlockGroups,2.191,2.576,1,146,183,89,181,194,65,94,27,2,49650245,49614911,980,39730,89,50627,28816,46338,53178,56081,62180,52825,45905,35208,175,183,127,192,163,70,65,2,1,35207,42260979,43123,980,9,5,7,9,13,2,1,1,0,38100,2224215,48,20,18,15,38,27,8,14,5,1,41255,7764061,146,23,15,12,31,27,13,17,6,0,44389,8075733,144,17,13,11,27,27,12,22,6,1,50000,8332167,134,33,28,15,23,52,17,21,3,0,47502,10089558,191,22,50,16,34,37,9,13,3,0,36237,8446510,184,23,54,13,20,10,4,6,2,0,21818,4682667,133,55.9,508,35000,45706,317,27566,41548,33924,38091,1828354,37846,44508,6498135,40770,46993,6767058,43440,54483,7300736,37104,44455,8490832,28851,38960,7168718,21171,31633,4207147,22,US,83,BlockApportionment:US.BlockGroups,2.191,2.576,1,980,39
84,Pueblo Gardens,5,NEIGHBORHOODS,23,US,84,BlockApportionment:US.BlockGroups,2.191,2.576,1,156,144,120,161,137,20,30,5,0,30107552,29898163,774,31535,134,38628,11710,26739,41326,41004,44466,39276,32425,28427,184,158,142,152,101,22,16,0,0,27464,25760909,33283,774,12,12,8,8,3,0,0,0,0,21975,1149758,43,35,27,26,24,29,9,9,1,0,31198,6694887,162,33,17,26,36,29,3,10,0,0,35261,6314654,154,26,18,16,27,38,4,6,3,0,38794,6091774,137,22,21,15,30,23,3,3,1,0,35304,4634563,118,16,28,23,28,13,0,0,0,0,28424,3534348,109,13,22,6,7,2,1,2,0,0,19520,1478179,52,47.1,278,28213,34577,161,25358,31134,18914,23268,1000544,29177,34672,5616932,31375,35831,5517973,33019,38780,5312814,27960,33175,3914686,25299,27559,3003917,18858,26809,1394043,23,US,84,BlockApportionment:US.BlockGroups,2.191,2.576,1,774,28
85,Richland Heights East,3,NEIGHBORHOODS,24,US,85,BlockApportionment:US.BlockGroups,2.191,2.576,1,49,33,29,37,45,20,28,11,17,20185598,18606050,268,43407,54,69426,34923,47132,67628,76094,108462,78374,59912,41814,56,36,32,44,41,20,23,9,8,37694,14733435,54976,268,9,4,5,5,3,1,1,1,1,28213,1413947,30,14,9,8,10,8,5,8,4,4,39870,4801615,71,7,4,4,7,6,3,6,2,3,47183,3195954,42,4,2,3,4,5,3,5,2,5,65572,3470786,32,5,3,3,3,9,3,4,1,3,55826,2743104,35,5,4,3,4,10,3,3,1,0,50687,1977107,33,5,5,3,4,4,2,1,0,0,30999,1003538,24,42.7,93,47391,62898,57,40405,52292,23786,37960,1138810,36343,51557,3660578,43416,59585,2502581,55725,84519,2704603,45225,61789,2162605,38502,50711,1673466,26900,37116,890792,24,US,85,BlockApportionment:US.BlockGroups,2.191,2.576,1,268,51
86,Richland Heights West,3,NEIGHBORHOODS,25,US,86,BlockApportionment:US.BlockGroups,2.191,2.576,1,25,30,38,45,36,43,12,22,11,18938316,18896736,262,46935,45,72125,35868,34028,73386,87178,92999,67366,63570,67565,31,38,40,45,52,18,26,6,6,41031,14857229,56707,262,6,5,5,2,2,3,0,0,0,25673,782649,23,5,5,9,14,9,9,6,3,3,47779,4623293,63,4,2,5,11,5,8,2,3,4,50000,3835849,44,3,2,4,3,6,6,2,6,2,69429,3161980,34,5,6,6,4,7,9,1,4,1,51232,2896743,43,1,4,5,7,6,4,1,1,1,44413,1907087,30,1,6,4,4,1,4,0,5,0,39468,1689135,25,45.3,98,44990,66255,55,42477,65386,20111,28078,645797,42326,54956,3462205,47915,68156,2998872,56884,73858,2511157,38609,52618,2262570,37218,55440,1663186,33647,52538,1313442,25,US,86,BlockApportionment:US.BlockGroups,2.191,2.576,1,262,61
87,Rillito,2,NEIGHBORHOODS,26,US,87,BlockApportionment:US.BlockGroups,2.191,2.576,1,53,48,48,86,134,94,117,44,53,62630154,62630154,677,67457,55,92511,40537,60493,80294,112928,107725,106368,66482,59483,62,53,58,118,156,89,89,28,24,55415,48248156,71268,677,7,6,6,7,14,3,7,1,1,50000,3145622,52,14,10,17,41,46,25,24,6,12,56063,15657391,195,6,8,5,16,29,23,43,19,16,93947,18633067,165,8,6,6,12,16,19,23,10,12,83643,12065192,112,7,4,5,5,18,13,12,4,10,75000,8296721,78,8,9,5,4,9,8,7,1,2,50943,3523528,53,3,5,4,1,2,3,1,3,0,31818,1308633,22,40.5,153,61801,85810,75,44704,64429,41117,52842,2747787,47135,61323,11958018,72772,83783,13824262,67976,84622,9477704,59809,80571,6284518,38675,53810,2851954,31818,50178,1103913,26,US,87,BlockApportionment:US.BlockGroups,2.191,2.576,1,677,72
88,Rincon Heights,6,NEIGHBORHOODS,27,US,88,BlockApportionment:US.BlockGroups,2.191,2.576,1,411,196,107,160,134,62,39,7,7,38590492,39030624,1121,21863,61,34818,16993,24792,41215,43588,49604,42034,35776,25662,450,194,118,168,126,34,24,4,4,19664,33124990,29550,1121,205,90,44,66,22,17,7,0,0,16538,11181061,451,87,40,31,43,50,20,13,4,2,30130,11911052,289,31,16,11,13,14,11,7,1,1,29320,4489538,103,28,14,8,13,17,5,5,1,3,30646,4613149,93,30,17,7,11,19,6,5,1,1,26758,4077328,97,18,8,4,10,9,2,1,1,0,26000,1860326,52,13,11,2,4,4,1,0,0,0,17756,898170,35,28.8,184,23210,36950,87,20784,31347,15192,21686,9780481,27725,33896,9795914,25778,35548,3661419,27185,41015,3814397,25000,37369,3624796,25451,31590,1642679,17756,23009,805305,27,US,88,BlockApportionment:US.BlockGroups,2.191,2.576,1,1127,22
89,Rita Ranch,4,NEIGHBORHOODS,28,US,89,BlockApportionment:US.BlockGroups,2.191,2.576,1,144,137,251,574,1129,974,1753,516,277,567926750,576340222,5754,89700,293,100163,32794,72276,87511,111998,109838,105811,86797,61049,163,197,367,848,1462,1286,1136,166,129,71065,460526635,80036,5754,4,6,7,27,39,19,16,2,3,58045,8962231,124,18,16,55,183,273,203,312,50,29,77205,99587020,1138,31,29,43,83,151,162,663,79,87,105755,148845461,1329,19,17,44,125,189,281,354,218,68,97890,144437396,1315,37,26,41,74,193,209,275,132,64,91780,111207810,1051,27,27,33,44,183,86,108,31,25,68620,48953714,564,8,16,28,37,101,15,24,4,1,53784,14346591,235,47.2,1849,77996,94380,799,62447,79324,51421,62923,7802460,58819,70322,80026967,79393,85609,113774579,79797,89336,117477361,75665,83857,88133657,58450,72475,40875647,44085,52919,12435964,28,US,89,BlockApportionment:US.BlockGroups,2.191,2.576,1,5754,101
90,Roberts,5,NEIGHBORHOODS,29,US,90,BlockApportionment:US.BlockGroups,2.191,2.576,1,213,203,88,112,107,66,46,1,0,31463773,31615400,837,25171,445,37772,13435,29244,40837,39845,43229,33719,34483,31336,248,196,100,113,118,41,21,0,0,23092,27262952,32572,837,31,23,9,9,8,4,3,0,0,19145,2514957,86,48,41,22,19,20,19,16,0,0,26230,7595633,186,45,32,18,23,21,19,9,0,0,27992,6694006,168,36,29,15,22,29,10,13,1,0,32945,6700554,155,32,42,10,16,21,6,3,0,0,21820,4383479,130,13,21,8,15,6,4,1,0,0,25000,2379344,69,9,15,6,6,2,4,0,0,0,21954,1347427,43,43.7,242,22643,33793,112,23675,33880,17309,26013,2237084,24278,34088,6340303,24788,34413,5781309,28512,38168,5915994,21062,28870,3753040,23463,30005,2070367,21078,27090,1164856,29,US,90,BlockApportionment:US.BlockGroups,2.191,2.576,1,837,25
91,Rose,1,NEIGHBORHOODS,0,US,91,BlockApportionment:US.BlockGroups,2.191,2.576,1,175,122,85,184,86,42,45,3,0,28994507,29368817,741,33367,292,39634,13209,33356,45793,47780,54569,44700,31793,27270,193,133,142,133,85,35,21,0,0,27416,25178130,33979,741,4,4,3,4,3,0,1,0,0,29188,567046,17,19,10,11,14,15,10,6,1,0,37399,3938166,86,16,8,11,27,14,5,10,1,0,39429,4300157,90,12,7,9,28,18,8,13,1,0,44233,5238629,96,21,14,16,40,23,8,9,0,0,38793,5811018,130,48,17,16,54,9,2,3,1,0,30594,4768889,150,55,63,20,17,4,11,3,1,0,18547,4744912,174,61.3,453,26429,33681,324,21350,29364,22086,27514,467743,35000,38475,3308855,37262,41067,3695991,39371,48145,4621875,30967,37657,4895405,25430,26866,4029923,17674,23898,4158339,0,US,91,BlockApportionment:US.BlockGroups,2.191,2.576,1,741,33
92,Rosemont West,6,NEIGHBORHOODS,1,US,92,BlockApportionment:US.BlockGroups,2.191,2.576,1,57,35,71,139,149,93,50,30,0,38223728,38074345,624,51040,72,61017,23995,50687,66363,64709,70934,64849,57248,37941,61,51,107,146,158,52,49,1,0,43156,31736793,50860,624,1,2,2,2,7,2,0,0,0,51613,861681,17,8,3,8,21,27,15,8,7,0,55370,6437191,97,8,2,8,25,18,15,12,4,0,52877,5953245,92,10,1,6,19,34,21,9,9,0,60404,7731752,109,14,7,9,22,39,20,14,7,0,56188,8560104,132,7,7,14,22,19,16,5,3,0,46734,5381311,94,8,13,24,27,5,3,2,0,0,32664,3149062,83,54.7,309,44367,55669,177,38049,48745,44999,45995,781917,46198,54000,5238014,47124,53812,4950708,52599,59706,6507928,45424,52906,6983529,39088,47858,4498663,28663,33446,2776034,1,US,92,BlockApportionment:US.BlockGroups,2.191,2.576,1,624,50
93,Saguaro Miraflores,1,NEIGHBORHOODS,2,US,93,BlockApportionment:US.BlockGroups,2.191,2.576,1,3,22,17,35,42,44,77,19,16,26161572,26637008,274,83687,25,97215,37915,66246,87840,106659,112300,109331,97922,57168,7,24,26,38,57,54,52,8,8,66343,21336689,77871,274,0,1,1,1,2,1,1,0,0,54062,331231,5,0,3,3,4,4,3,8,1,1,70842,2371682,27,0,3,1,3,4,5,13,3,2,101826,3626407,34,0,3,1,4,5,9,18,6,3,103651,5502717,49,1,3,3,4,9,11,19,5,4,95570,6341221,58,1,5,3,9,13,14,14,3,5,78220,6462865,66,0,6,5,11,5,2,5,0,0,41309,2000884,35,58.8,159,76346,92531,101,62244,83799,41089,57692,288458,57692,68405,1846947,75753,80850,2748895,82131,91883,4502255,77827,86737,5030771,61889,78491,5180375,37232,49685,1738987,2,US,93,BlockApportionment:US.BlockGroups,2.191,2.576,1,274,140
94,Sam Hughes,6,NEIGHBORHOODS,3,US,94,BlockApportionment:US.BlockGroups,2.191,2.576,1,463,221,165,302,349,231,323,229,228,218658896,223655981,2510,55776,147,89106,44982,59336,86834,107795,126734,103952,88419,56226,498,230,222,348,381,230,374,119,108,47596,170163790,67794,2510,66,44,31,46,41,19,18,8,14,35574,17088795,288,115,38,56,81,85,49,90,54,51,54321,53837122,620,38,18,15,30,33,36,39,46,31,80034,30721548,285,28,16,11,23,32,20,46,44,43,101089,33330981,263,52,32,11,20,61,51,63,44,39,79050,38774009,373,60,29,19,43,58,46,48,26,30,60027,31742375,359,105,44,22,60,39,9,19,7,19,30332,18161151,323,47.4,1055,53606,83975,682,42907,73065,30929,46756,13465594,46013,64270,39847633,63669,78987,22511289,81054,96604,25406818,62447,78686,29349830,52094,69534,24962677,26919,45263,14619947,3,US,94,BlockApportionment:US.BlockGroups,2.191,2.576,1,2510,92
95,Samos,3,NEIGHBORHOODS,4,US,95,BlockApportionment:US.BlockGroups,2.191,2.576,1,88,24,58,100,55,29,29,6,36,32871983,29535008,425,39884,7,69494,32008,39688,73511,97986,76617,93554,57572,34979,92,40,75,86,54,24,19,19,17,35702,22825594,53707,425,30,5,12,18,8,3,5,1,1,29638,3294081,83,19,4,13,25,13,6,6,2,9,40872,7130550,97,7,2,5,10,7,5,5,0,8,51262,4801290,49,10,2,7,11,7,4,4,1,5,42420,3907489,51,9,3,10,16,12,7,6,1,11,49338,7016533,75,6,3,5,13,7,4,2,1,1,41254,2475612,43,5,5,6,6,2,1,1,0,0,29007,909452,26,41.5,144,41784,72738,69,37062,49780,25335,33476,2778486,37854,53744,5213195,46974,70800,3469190,38144,61473,3135098,41862,70879,5315960,34348,48450,2083364,26450,31935,830300,4,US,95,BlockApportionment:US.BlockGroups,2.191,2.576,1,425,60
96,San Carlos,2,NEIGHBORHOODS,5,US,96,BlockApportionment:US.BlockGroups,2.191,2.576,1,9,12,12,11,13,4,13,2,0,4169949,4271501,76,40633,16,56204,22419,46435,63163,61708,63016,62279,46221,37244,11,14,13,12,11,9,7,0,0,35441,3638492,47875,76,1,1,1,1,1,0,0,0,0,29084,185739,4,1,1,2,1,2,1,3,0,0,54545,757960,12,1,1,2,2,2,1,3,0,0,50000,740497,12,1,1,2,2,3,1,2,1,0,52758,756196,12,2,2,2,2,3,1,3,1,0,50000,996463,16,1,2,2,2,2,0,1,0,0,35000,462211,10,1,3,3,1,1,0,1,0,0,27313,372436,10,53.3,36,35000,50864,20,29985,41732,29084,38276,153104,41213,53817,645807,45195,50630,607564,41213,55178,662131,41089,52273,836373,31741,39855,398554,23013,33496,334960,5,US,96,BlockApportionment:US.BlockGroups,2.191,2.576,1,76,39
97,San Clemente,6,NEIGHBORHOODS,6,US,97,BlockApportionment:US.BlockGroups,2.191,2.576,1,45,20,17,32,17,40,74,51,9,30989458,27761426,306,86725,0,90724,43770,53742,86380,98061,98827,100026,94763,69949,47,22,25,26,40,51,83,6,4,68584,22448922,73362,306,3,1,1,2,2,2,2,0,0,45276,644900,12,7,2,3,5,2,4,8,7,1,77488,3282451,38,5,2,2,5,1,5,12,8,1,101160,3824371,39,8,3,2,5,3,7,13,11,2,95548,5237846,53,9,3,2,4,5,11,18,13,2,98507,6601717,66,5,3,3,7,3,10,12,8,2,86685,5022435,53,9,7,5,4,2,2,9,5,1,38028,3147706,45,56.7,163,85196,90072,98,75792,84228,37784,47495,569944,51816,67951,2582121,76614,76719,2992037,77353,80143,4247574,79618,79605,5253921,71237,78065,4137447,32887,59242,2665878,6,US,97,BlockApportionment:US.BlockGroups,2.191,2.576,1,306,88
98,San Gabriel,6,NEIGHBORHOODS,7,US,98,BlockApportionment:US.BlockGroups,2.191,2.576,1,71,41,54,84,45,46,56,28,4,24527602,26292748,428,42280,11,61432,27746,40493,56445,63732,66976,68986,60889,50276,77,51,71,69,61,42,52,3,2,37440,21812154,50963,428,4,2,3,2,2,1,1,0,0,29084,647888,16,13,6,9,12,6,7,7,4,0,38821,3556033,63,11,3,6,18,7,6,11,4,0,44433,4206306,66,12,7,6,15,7,9,11,6,1,46039,5023195,75,12,6,10,13,10,12,13,7,1,51835,5725821,83,10,8,10,19,11,9,8,4,1,42997,4871100,80,9,10,10,5,1,2,4,3,0,27196,2262404,45,54.2,208,41372,61824,125,37253,57528,26182,34764,556217,36179,46232,2912591,42225,53198,3511067,41962,55808,4185599,42904,56030,4650521,35445,50543,4043461,26797,43393,1952698,7,US,98,BlockApportionment:US.BlockGroups,2.191,2.576,1,428,54
99,San Ignacio Yaqui,3,NEIGHBORHOODS,8,US,99,BlockApportionment:US.BlockGroups,2.191,2.576,1,75,34,16,32,11,10,8,1,1,7354322,6041963,186,19507,80,32484,12298,23400,44648,44609,41407,26602,24831,14754,81,34,24,22,14,7,4,0,0,17575,5092897,27381,186,10,7,2,2,1,1,0,0,0,16266,538205,23,8,5,3,4,2,4,3,0,0,29324,1250141,28,7,4,3,5,2,1,1,0,1,27703,1026016,23,11,4,3,6,3,2,2,0,0,26320,1283621,31,18,6,3,7,2,1,1,0,0,16143,1037492,39,11,5,1,7,1,1,0,0,0,17963,670425,27,9,5,1,1,0,0,0,0,0,13333,236062,16,51.3,81,15800,24300,43,15600,21583,14375,19744,454111,29305,36522,1022606,23530,35891,825489,25000,35545,1101902,15554,23115,901467,16342,21334,576013,12000,13207,211310,8,US,99,BlockApportionment:US.BlockGroups,2.191,2.576,1,186,21
100,Santa Cruz Southwest,1,NEIGHBORHOODS,9,US,100,BlockApportionment:US.BlockGroups,2.191,2.576,1,108,131,195,227,144,66,39,21,7,46408675,44796001,939,36534,205,47706,15883,37738,50196,50442,52196,50967,41632,35585,128,174,227,190,138,39,36,4,3,31559,37536633,39975,939,7,7,8,8,3,2,0,1,0,29028,1396304,37,18,15,39,32,30,15,7,4,1,37928,8131777,162,17,16,37,35,25,14,8,2,2,37412,7868977,156,15,17,34,43,31,15,8,4,2,39886,8768900,168,20,20,28,63,36,11,11,4,2,40162,9836600,193,16,24,30,38,16,6,4,2,0,34074,5661996,136,15,32,19,9,4,4,1,3,0,23242,3131447,88,51.8,417,35411,44569,224,29034,39432,26010,32638,1207592,35348,41489,6721171,35136,42415,6616801,35567,44598,7492525,32803,41850,8077032,27789,34540,4697398,22050,30956,2724114,9,US,100,BlockApportionment:US.BlockGroups,2.191,2.576,1,939,43
101,Santa Rita Park - West Ochoa,5,NEIGHBORHOODS,10,US,101,BlockApportionment:US.BlockGroups,2.191,2.576,1,141,77,60,99,94,45,42,6,4,30078999,25782703,569,35631,156,45312,14950,31616,50486,53364,50530,45294,37495,20799,153,83,79,100,93,34,23,2,2,30400,22121107,38877,569,14,9,5,6,3,2,1,0,1,21222,1264656,40,27,13,15,18,20,13,11,3,1,38583,6108793,121,24,9,13,21,22,12,10,2,2,41869,6243610,117,19,7,11,18,20,8,10,1,1,42396,4749828,94,21,11,9,17,20,6,7,1,0,38326,4121798,91,18,11,5,15,7,4,4,0,0,30401,2399655,64,17,17,3,4,2,1,0,0,0,16666,894362,43,45.7,198,27435,37079,107,20622,30500,18293,26460,1058397,35806,41714,5047422,38227,45557,5330157,37974,45642,4290353,31279,38284,3483844,25881,33091,2117811,15961,18445,793124,10,US,101,BlockApportionment:US.BlockGroups,2.191,2.576,1,569,30
102,Sewell,6,NEIGHBORHOODS,11,US,102,BlockApportionment:US.BlockGroups,2.191,2.576,1,64,48,31,54,33,11,36,11,17,20290872,19338385,304,36911,61,63613,28143,22594,61447,69873,76869,79396,60537,38331,71,51,44,45,28,22,25,10,8,31121,15496926,50977,304,6,2,1,1,1,0,0,0,0,13750,271125,12,15,5,3,7,8,3,6,1,3,39303,3072332,50,8,5,3,6,2,2,6,1,2,37813,2375675,34,8,8,7,9,3,2,9,4,4,40408,4150905,54,12,9,5,7,5,2,8,3,6,39351,4446179,56,9,9,6,15,8,1,5,2,3,38584,3450582,57,7,10,6,9,6,1,1,1,0,30061,1571587,41,55.4,154,36699,60695,98,36008,50729,12857,19327,231924,36023,48232,2411612,36098,54033,1837114,36934,62542,3377251,31524,63294,3544480,30212,48216,2748298,27028,32835,1346246,11,US,102,BlockApportionment:US.BlockGroups,2.191,2.576,1,304,58
